ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Nation,Nation,ID State,State,ID Degree,Degree,Completions,Slug CIP6,Geography,ID Geography,Slug Geography
51,Health,5138,"Registered Nursing, Nursing Administration, & Nursing Research",513801,Registered Nursing,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,557,registered-nursing,"Kings County, NY",05000US36047,kings-county-ny
51,Health,5131,Dietetics & Clinical Nutrition Services,513199,Others Dietetics & Clinical Nutrition Services,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,45,others-dietetics-clinical-nutrition-services,"Kings County, NY",05000US36047,kings-county-ny
5,Cultural & Gender Studies,502,"Ethnic, Cultural, & Gender Group Studies",50207,Women's Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,8,womens-studies,"Kings County, NY",05000US36047,kings-county-ny
51,Health,5123,Rehabilitation & Therapeutic Professions,512308,Physical Therapy,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,physical-therapy,"Kings County, NY",05000US36047,kings-county-ny
51,Health,5123,Rehabilitation & Therapeutic Professions,512306,Occupational Therapy,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,53,occupational-therapy,"Kings County, NY",05000US36047,kings-county-ny
5,Cultural & Gender Studies,502,"Ethnic, Cultural, & Gender Group Studies",50299,"Other Ethnic, Minority, Gender, & Group Studies",2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,61,other-ethnic-minority-gender-group-studies,"Kings County, NY",05000US36047,kings-county-ny
51,Health,5122,Public Health,512201,General Public Health,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,1,general-public-health,"Kings County, NY",05000US36047,kings-county-ny
9,Communications,901,Communication and Media Studies,90100,General Communication,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,11,general-communication,"Kings County, NY",05000US36047,kings-county-ny
51,Health,5120,Pharmaceutical Sciences & Administration,512099,"Other Pharmacy, Pharmaceutical Sciences, & Administration",2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,147,other-pharmacy-pharmaceutical-sciences-administration,"Kings County, NY",05000US36047,kings-county-ny
51,Health,5110,Medical Laboratory Research & Allied Professions,511005,Clinical Laboratory Technologist,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,6,clinical-laboratory-technologist,"Kings County, NY",05000US36047,kings-county-ny
9,Communications,901,Communication and Media Studies,90101,Speech Communication & Rhetoric,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,56,speech-communication-rhetoric,"Kings County, NY",05000US36047,kings-county-ny
51,Health,5109,"Allied Diagnostic, Intervention, & Treatment Professions",510913,Athletic Trainer,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,23,athletic-trainer,"Kings County, NY",05000US36047,kings-county-ny
51,Health,5109,"Allied Diagnostic, Intervention, & Treatment Professions",510912,Physician Assistant,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,39,physician-assistant,"Kings County, NY",05000US36047,kings-county-ny
9,Communications,904,Journalism,90401,Journalism,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,39,journalism-6,"Kings County, NY",05000US36047,kings-county-ny
51,Health,5109,"Allied Diagnostic, Intervention, & Treatment Professions",510910,Diagnostic Medical Sonography & Ultrasound Technician,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,12,diagnostic-medical-sonography-ultrasound-technician,"Kings County, NY",05000US36047,kings-county-ny
51,Health,5109,"Allied Diagnostic, Intervention, & Treatment Professions",510908,Respiratory Care Therapist,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,28,respiratory-care-therapist,"Kings County, NY",05000US36047,kings-county-ny
9,Communications,904,Journalism,90402,Broadcast Journalism,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,15,broadcast-journalism,"Kings County, NY",05000US36047,kings-county-ny
51,Health,5109,"Allied Diagnostic, Intervention, & Treatment Professions",510907,Radiation Therapist,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,52,radiation-therapist,"Kings County, NY",05000US36047,kings-county-ny
51,Health,5107,Health & Medical Administrative Services,510706,Health Information & Medical Records Administration,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,health-information-medical-records-administration,"Kings County, NY",05000US36047,kings-county-ny
51,Health,5107,Health & Medical Administrative Services,510702,Hospital & Health Care Facilities Management,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,86,hospital-health-care-facilities-management,"Kings County, NY",05000US36047,kings-county-ny
9,Communications,907,"Radio, Television, & Digital Communication",90701,Radio & Television,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,79,radio-television,"Kings County, NY",05000US36047,kings-county-ny
51,Health,5107,Health & Medical Administrative Services,510701,Health Care Administration & Management,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,15,health-care-administration-management,"Kings County, NY",05000US36047,kings-county-ny
9,Communications,907,"Radio, Television, & Digital Communication",90702,Digital Communication & Multimedia,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,54,digital-communication-multimedia,"Kings County, NY",05000US36047,kings-county-ny
51,Health,5102,Communication Disorders Sciences & Services,510204,Audiology & Speech-Language Pathology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,97,audiology-speech-language-pathology,"Kings County, NY",05000US36047,kings-county-ny
51,Health,5100,General Allied Health & Health Sciences,510000,General Health Services,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,25,general-health-services,"Kings County, NY",05000US36047,kings-county-ny
9,Communications,909,"Public Relations, Advertising, & Applied Communication",90900,"Public Relations, Advertising, & Applied Communication",2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,18,public-relations-advertising-applied-communication-6,"Kings County, NY",05000US36047,kings-county-ny
50,Visual & Performing Arts,5099,Other Visual & Performing Arts,509999,Other Visual & Performing Arts,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,other-visual-performing-arts-6,"Kings County, NY",05000US36047,kings-county-ny
50,Visual & Performing Arts,5009,Music,500904,Music Theory & Composition,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,2,music-theory-composition,"Kings County, NY",05000US36047,kings-county-ny
50,Visual & Performing Arts,5009,Music,500903,General Music Performance,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,15,general-music-performance,"Kings County, NY",05000US36047,kings-county-ny
50,Visual & Performing Arts,5009,Music,500901,General Music,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,3,general-music,"Kings County, NY",05000US36047,kings-county-ny
50,Visual & Performing Arts,5007,Fine & Studio Arts,500711,Ceramic Arts & Ceramics,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,3,ceramic-arts-ceramics,"Kings County, NY",05000US36047,kings-county-ny
50,Visual & Performing Arts,5007,Fine & Studio Arts,500710,Printmaking,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,4,printmaking,"Kings County, NY",05000US36047,kings-county-ny
10,Communication Technologies,1003,Graphic Communications,100304,"Animation, Interactive Technology, Video Graphics, & Special Effects",2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,37,animation-interactive-technology-video-graphics-special-effects,"Kings County, NY",05000US36047,kings-county-ny
50,Visual & Performing Arts,5007,Fine & Studio Arts,500709,Sculpture,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,6,sculpture,"Kings County, NY",05000US36047,kings-county-ny
50,Visual & Performing Arts,5007,Fine & Studio Arts,500708,Painting,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,22,painting,"Kings County, NY",05000US36047,kings-county-ny
11,Computer and Information Sciences and Support Services,1101,General Computer & Information Sciences,110101,General Computer & Information Sciences,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,112,general-computer-information-sciences-6,"Kings County, NY",05000US36047,kings-county-ny
50,Visual & Performing Arts,5007,Fine & Studio Arts,500705,Drawing,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,8,drawing,"Kings County, NY",05000US36047,kings-county-ny
50,Visual & Performing Arts,5007,Fine & Studio Arts,500703,"Art History, Criticism, & Conservation",2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,9,art-history-criticism-conservation,"Kings County, NY",05000US36047,kings-county-ny
11,Computer and Information Sciences and Support Services,1101,General Computer & Information Sciences,110199,Other Computer & Information Sciences,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,other-computer-information-sciences,"Kings County, NY",05000US36047,kings-county-ny
50,Visual & Performing Arts,5007,Fine & Studio Arts,500702,General Fine Studio Arts,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,54,general-fine-studio-arts,"Kings County, NY",05000US36047,kings-county-ny
50,Visual & Performing Arts,5006,Video & Photographic Arts,500605,Photography,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,22,photography,"Kings County, NY",05000US36047,kings-county-ny
11,Computer and Information Sciences and Support Services,1104,Information Sciences,110401,Information Science,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,222,information-science,"Kings County, NY",05000US36047,kings-county-ny
50,Visual & Performing Arts,5006,Video & Photographic Arts,500602,Cinematography & Film Production,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,103,cinematography-film-production,"Kings County, NY",05000US36047,kings-county-ny
50,Visual & Performing Arts,5005,Theater Arts & Stagecraft,500502,Technical Theatre Design & Technology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,34,technical-theatre-design-technology,"Kings County, NY",05000US36047,kings-county-ny
11,Computer and Information Sciences and Support Services,1107,Computer Science,110701,Computer Science,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,9,computer-science-6,"Kings County, NY",05000US36047,kings-county-ny
50,Visual & Performing Arts,5005,Theater Arts & Stagecraft,500501,General Drama & Theater Arts,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,22,general-drama-theater-arts,"Kings County, NY",05000US36047,kings-county-ny
50,Visual & Performing Arts,5004,Design & Applied Arts,500410,Illustration,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,41,illustration,"Kings County, NY",05000US36047,kings-county-ny
11,Computer and Information Sciences and Support Services,1108,Computer Software & Media Applications,110801,"Web Page, Digital, & Information Resource Design",2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,17,web-page-digital-information-resource-design,"Kings County, NY",05000US36047,kings-county-ny
50,Visual & Performing Arts,5004,Design & Applied Arts,500409,Graphic Design,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,85,graphic-design,"Kings County, NY",05000US36047,kings-county-ny
50,Visual & Performing Arts,5004,Design & Applied Arts,500408,Interior Design,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,61,interior-design,"Kings County, NY",05000US36047,kings-county-ny
11,Computer and Information Sciences and Support Services,1110,Computer Technology Administration & Management,111099,Other Computer & Information Technology Services Management,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,22,other-computer-information-technology-services-management,"Kings County, NY",05000US36047,kings-county-ny
50,Visual & Performing Arts,5004,Design & Applied Arts,500407,Fashion & Apparel Design,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,43,fashion-apparel-design,"Kings County, NY",05000US36047,kings-county-ny
50,Visual & Performing Arts,5004,Design & Applied Arts,500404,Industrial & Product Design,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,61,industrial-product-design,"Kings County, NY",05000US36047,kings-county-ny
13,Education,1310,Special Education,131001,General Special Education & Teaching,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,23,general-special-education-teaching,"Kings County, NY",05000US36047,kings-county-ny
50,Visual & Performing Arts,5004,Design & Applied Arts,500402,Commercial & Advertising Art,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,4,commercial-advertising-art,"Kings County, NY",05000US36047,kings-county-ny
50,Visual & Performing Arts,5004,Design & Applied Arts,500401,General Design & Visual Communications,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,136,general-design-visual-communications,"Kings County, NY",05000US36047,kings-county-ny
13,Education,1310,Special Education,131012,Education of Individuals with Speech or Language Impairments,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,education-of-individuals-with-speech-or-language-impairments,"Kings County, NY",05000US36047,kings-county-ny
50,Visual & Performing Arts,5003,Dance,500301,General Dance,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,3,general-dance,"Kings County, NY",05000US36047,kings-county-ny
50,Visual & Performing Arts,5001,General Visual & Performaing Arts,500102,Digital Arts,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,digital-arts,"Kings County, NY",05000US36047,kings-county-ny
13,Education,1310,Special Education,131015,Education of Individuals in Early Childhood Special Education Programs,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,5,education-of-individuals-in-early-childhood-special-education-programs,"Kings County, NY",05000US36047,kings-county-ny
45,Social Sciences,4599,Other Social Sciences,459999,Other Social Sciences,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,1,other-social-sciences-6,"Kings County, NY",05000US36047,kings-county-ny
45,Social Sciences,4512,Urban Affairs,451201,Urban Studies,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,urban-studies,"Kings County, NY",05000US36047,kings-county-ny
13,Education,1310,Special Education,131017,Education of Individuals in Elementary Special Education Programs,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,6,education-of-individuals-in-elementary-special-education-programs,"Kings County, NY",05000US36047,kings-county-ny
