County,Year,State,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Employed_age16+_civilian,Employed_male,Financial_managers_male,Financial_specialists_male,Accountants_&_auditors_male,Computer_male,Software_devops_male,Database_&_system_male,Employed_female,Financial_managers_female,Financial_specialists_female,Accountants_&_auditors_female,Computer_female,Software_devops_female,Database_&_system_female,Information_age16+_total,Finance_and_insurance,Real_estate
061,2014,36,"New York County, New York",1636268.0,36.6,76089.0,64618.0,279428.0,17.077153620311588,652237.0,345271.0,11858.0,21701.0,6228.0,16973.0,7335.0,1352.0,306966.0,8568.0,14898.0,6516.0,5634.0,2584.0,356.0,81318.0,140848.0,55872.0
081,2014,36,"Queens County, New York",2321580.0,37.8,57241.0,26572.0,349127.0,15.038335960854246,814682.0,461253.0,3777.0,11948.0,8018.0,16605.0,6937.0,2447.0,353429.0,5321.0,13265.0,8608.0,4863.0,1709.0,329.0,58177.0,66506.0,46267.0
085,2014,36,"Richmond County, New York",473279.0,39.7,71121.0,31611.0,67755.0,14.316079944387983,151049.0,83439.0,841.0,3114.0,1894.0,2721.0,725.0,670.0,67610.0,716.0,1606.0,1164.0,787.0,633.0,122.0,65244.0,75817.0,51686.0
005,2015,36,"Bronx County, New York",1455444.0,33.6,35176.0,18880.0,432177.0,29.69382538936572,412292.0,221150.0,323.0,2852.0,1856.0,5192.0,1484.0,259.0,191142.0,2061.0,3929.0,2186.0,1402.0,370.0,187.0,49735.0,58408.0,40829.0
047,2015,36,"Kings County, New York",2636735.0,34.7,51141.0,28898.0,582808.0,22.103396814621114,866632.0,459862.0,5339.0,10096.0,6447.0,19653.0,10376.0,1825.0,406770.0,3419.0,11658.0,7740.0,5038.0,3114.0,486.0,70623.0,82153.0,50572.0
061,2015,36,"New York County, New York",1644518.0,36.8,75575.0,67255.0,280406.0,17.05095353167311,664093.0,354913.0,14337.0,22486.0,7331.0,21368.0,10863.0,875.0,309180.0,6995.0,11651.0,7083.0,6230.0,2480.0,258.0,91561.0,152425.0,70052.0
081,2015,36,"Queens County, New York",2339150.0,38.1,60422.0,27778.0,318154.0,13.601265416924951,839195.0,475530.0,4283.0,13864.0,8852.0,16614.0,6142.0,1844.0,363665.0,4905.0,14109.0,9878.0,4546.0,2016.0,252.0,61312.0,70638.0,45906.0
085,2015,36,"Richmond County, New York",474558.0,39.8,71622.0,31284.0,67312.0,14.18414608962445,155243.0,86214.0,1070.0,2924.0,1308.0,3445.0,1234.0,512.0,69029.0,1368.0,2988.0,1752.0,719.0,330.0,36.0,47398.0,80242.0,49748.0
005,2016,36,"Bronx County, New York",1455720.0,33.6,37525.0,19369.0,407377.0,27.984571208748935,419838.0,227816.0,772.0,3171.0,1985.0,3734.0,655.0,421.0,192022.0,1747.0,4453.0,3354.0,1421.0,306.0,179.0,47345.0,56403.0,36455.0
047,2016,36,"Kings County, New York",2629150.0,34.8,55150.0,30526.0,536846.0,20.41899473213776,866784.0,459620.0,5957.0,11162.0,5343.0,22582.0,12250.0,1730.0,407164.0,3705.0,10285.0,7518.0,7257.0,2856.0,697.0,66775.0,81141.0,50558.0
