State,County,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Employed_age16+_civilian,Employed_male,Financial_managers_male,Male_business_operations,Financial_specialists_male,Accountants_&_auditors_male,Computer_male,Male_data_scientits,Software_devops_male,Database_&_system_male,Employed_female,Financial_managers_female,Female_business_operations,Financial_specialists_female,Accountants_&_auditors_female,Computer_female,Female_data_scientits,Software_devops_female,Database_&_system_female,Information_age16+_total,Finance_and_insurance,Real_estate,Year
36,005,"Bronx County, New York",1386657.0,32.8,32568.0,16671.0,408584.0,29.46539771551292,382642.0,198289.0,626.0,1910.0,2922.0,1528.0,3464.0,546.0,430.0,665.0,184353.0,1549.0,7826.0,4344.0,3544.0,926.0,356.0,362.0,0.0,49090.0,45770.0,39340.0,2010
36,047,"Kings County, New York",2508340.0,34.2,42143.0,23218.0,571936.0,22.80137461428674,793298.0,417076.0,4226.0,4825.0,10578.0,7706.0,14991.0,1303.0,9372.0,1375.0,376222.0,3503.0,17396.0,10787.0,7354.0,4383.0,733.0,2111.0,585.0,56023.0,60058.0,41348.0,2010
36,061,"New York County, New York",1586698.0,36.4,63832.0,56556.0,254289.0,16.026301161279587,604865.0,319625.0,7920.0,13961.0,22505.0,10295.0,14842.0,4121.0,7622.0,984.0,285240.0,3924.0,22052.0,13964.0,7023.0,3815.0,2044.0,1090.0,352.0,82014.0,125112.0,42421.0,2010
36,081,"Queens County, New York",2233841.0,37.3,53054.0,24530.0,332165.0,14.869679623572134,763128.0,431109.0,4915.0,6359.0,12474.0,8278.0,12782.0,1756.0,4185.0,1429.0,332019.0,3813.0,15249.0,13008.0,9999.0,3256.0,810.0,1310.0,199.0,52500.0,61474.0,42878.0,2010
36,085,"Richmond County, New York",469363.0,38.7,70560.0,30122.0,54353.0,11.580162901634768,151120.0,87562.0,1358.0,1532.0,2906.0,2064.0,3628.0,653.0,995.0,745.0,63558.0,943.0,4390.0,1931.0,1726.0,1021.0,134.0,765.0,80.0,65619.0,66770.0,70510.0,2010
