State,County,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,Employed_age16+_civilian,Employed_male,Financial_managers_male,Male_business_operations,Financial_specialists_male,Accountants_&_auditors_male,Computer_male,Male_data_scientits,Software_devops_male,Database_&_system_male,Employed_female,Financial_managers_female,Female_business_operations,Financial_specialists_female,Accountants_&_auditors_female,Computer_female,Female_data_scientits,Software_devops_female,Database_&_system_female,Information_age16+_total,Finance_and_insurance,Real_estate,Year
36,061,"New York County, New York",1628701.0,37.6,85066.0,74911.0,245487.0,15.072563963551321,2.8647983884089223,674929.0,354977.0,13378.0,17561.0,22645.0,6286.0,25158.0,5246.0,13790.0,1363.0,319952.0,7785.0,28125.0,10456.0,5911.0,8582.0,3479.0,2287.0,788.0,102490.0,155369.0,75746.0,2018
36,047,"Kings County, New York",2582830.0,35.4,61220.0,34709.0,485693.0,18.80468323505612,2.4519228907825914,882471.0,459919.0,3503.0,14397.0,11139.0,6925.0,26595.0,2797.0,13841.0,1987.0,422552.0,2981.0,26136.0,13903.0,10014.0,7838.0,1833.0,3085.0,898.0,81791.0,95951.0,55517.0,2018
36,081,"Queens County, New York",2278906.0,39.2,69320.0,31866.0,258221.0,11.330919309528344,2.7402183328316307,852111.0,476331.0,3902.0,11448.0,11494.0,6810.0,16820.0,2505.0,6919.0,1420.0,375780.0,3562.0,20702.0,13281.0,8501.0,4410.0,1862.0,1021.0,253.0,70033.0,75417.0,53848.0,2018
36,005,"Bronx County, New York",1432132.0,34.4,38467.0,21712.0,383486.0,26.77728030656392,4.719118070122028,407073.0,220306.0,1075.0,1818.0,2336.0,956.0,5124.0,421.0,1655.0,489.0,186767.0,1050.0,10163.0,3640.0,1985.0,1150.0,180.0,229.0,42.0,48870.0,56600.0,44457.0,2018
36,085,"Richmond County, New York",476179.0,40.1,82166.0,35966.0,53741.0,11.285881989755953,1.932256567383274,162368.0,90216.0,1886.0,2229.0,3342.0,1986.0,4083.0,575.0,2118.0,78.0,72152.0,936.0,5140.0,3495.0,2547.0,861.0,388.0,269.0,51.0,66497.0,90633.0,56397.0,2018
