State,County,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,Employed_age16+_civilian,Employed_male,Financial_managers_male,Male_business_operations,Financial_specialists_male,Accountants_&_auditors_male,Computer_male,Male_data_scientits,Software_devops_male,Database_&_system_male,Employed_female,Financial_managers_female,Female_business_operations,Financial_specialists_female,Accountants_&_auditors_female,Computer_female,Female_data_scientits,Software_devops_female,Database_&_system_female,Information_age16+_total,Finance_and_insurance,Real_estate,Year
36,005,"Bronx County, New York",1455720.0,33.6,37525.0,19369.0,407377.0,27.984571208748935,4.676173989503476,419838.0,227816.0,772.0,1826.0,3171.0,1985.0,3734.0,855.0,655.0,421.0,192022.0,1747.0,9657.0,4453.0,3354.0,1421.0,228.0,306.0,179.0,47345.0,56403.0,36455.0,2016
36,047,"Kings County, New York",2629150.0,34.8,55150.0,30526.0,536846.0,20.41899473213776,3.5850369891409772,866784.0,459620.0,5957.0,9828.0,11162.0,5343.0,22582.0,2293.0,12250.0,1730.0,407164.0,3705.0,29008.0,10285.0,7518.0,7257.0,2182.0,2856.0,697.0,66775.0,81141.0,50558.0,2016
36,061,"New York County, New York",1643734.0,37.1,77559.0,68126.0,275840.0,16.78130403094418,3.1971109680763434,670593.0,360551.0,13715.0,13495.0,23648.0,6506.0,21402.0,5392.0,10396.0,867.0,310042.0,5834.0,32227.0,13293.0,6755.0,7340.0,3163.0,1465.0,968.0,101820.0,151280.0,61718.0,2016
36,081,"Queens County, New York",2333054.0,38.3,62207.0,28609.0,303895.0,13.025630782656552,3.1664933602051217,844355.0,478943.0,3827.0,7392.0,12805.0,7799.0,18655.0,2519.0,7991.0,2091.0,365412.0,4431.0,22153.0,13697.0,9010.0,5565.0,1791.0,2150.0,287.0,61940.0,68988.0,46962.0,2016
36,085,"Richmond County, New York",476015.0,39.7,77197.0,33559.0,62239.0,13.075008140499774,2.3526569540875815,159593.0,90593.0,774.0,1378.0,3704.0,1950.0,3548.0,101.0,1309.0,242.0,69000.0,1025.0,4115.0,1802.0,1265.0,932.0,93.0,355.0,0.0,84643.0,76780.0,60699.0,2016
