ID Group,Group,ID Subgroup,Subgroup,ID Occupation,Occupation,ID Year,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,Geography,ID Geography,Slug Geography
1,"Service Occupations",4,"Service Occupations",14,"Food Preparation & Serving Related Occupations",2018,"2018","04000US36","New York",41073,4411.204824081512,"Bronx County, NY","05000US36005","bronx-county-ny"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",24,"Material Moving Occupations",2017,"2017","04000US36","New York",12171,2237.2563554496833,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,"Legal Occupations",2017,"2017","04000US36","New York",3209,953.8348913727156,"Bronx County, NY","05000US36005","bronx-county-ny"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",21,"Installation, Maintenance, & Repair Occupations",2017,"2017","04000US36","New York",11778,2162.384100940441,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,"Architecture & Engineering Occupations",2017,"2017","04000US36","New York",3417,1176.814768772044,"Bronx County, NY","05000US36005","bronx-county-ny"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations",2017,"2017","04000US36","New York",54611,4554.204431072456,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations",2017,"2017","04000US36","New York",32819,3199.6601382021813,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",4,"Service Occupations",14,"Food Preparation & Serving Related Occupations",2017,"2017","04000US36","New York",43962,4613.598378706148,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",2017,"2017","04000US36","New York",35231,3500.496107696736,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",5,"Protective Service Occupations",13,"Law Enforcement Workers Including Supervisors",2017,"2017","04000US36","New York",5834,1455.7901634507632,"Bronx County, NY","05000US36005","bronx-county-ny"
