ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Nation,Nation,ID State,State,ID Degree,Degree,Completions,Slug CIP6,Geography,ID Geography,Slug Geography
45,Social Sciences,4511,Sociology,451101,Sociology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,270,sociology-6,"Bronx County, NY",05000US36005,bronx-county-ny
45,Social Sciences,4510,Political Science & Government,451001,General Political Science & Government,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,163,general-political-science-government,"Bronx County, NY",05000US36005,bronx-county-ny
13,Education,1312,Teacher Education at Specific Levels & Methods,131205,Secondary Education & Teaching,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,6,secondary-education-teaching,"Bronx County, NY",05000US36005,bronx-county-ny
13,Education,1312,Teacher Education at Specific Levels & Methods,131210,Early Childhood Education & Teaching,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,32,early-childhood-education-teaching,"Bronx County, NY",05000US36005,bronx-county-ny
52,Business,5299,"Other Business, Management, Marketing, & Related Services",529999,"Other Business, Management, Marketing, & Related Support Services",2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,99,other-business-management-marketing-related-support-services,"Bronx County, NY",05000US36005,bronx-county-ny
13,Education,1313,Teacher Education for Specific Subject Areas,131303,Business Teacher Education,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,business-teacher-education,"Bronx County, NY",05000US36005,bronx-county-ny
45,Social Sciences,4509,International Relations & National Security Studies,450901,International Relations & Affairs,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,112,international-relations-affairs,"Bronx County, NY",05000US36005,bronx-county-ny
45,Social Sciences,4507,Geography & Cartography,450701,Geography,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,2,geography,"Bronx County, NY",05000US36005,bronx-county-ny
13,Education,1313,Teacher Education for Specific Subject Areas,131305,English & Language Arts Teacher Education,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,1,english-language-arts-teacher-education,"Bronx County, NY",05000US36005,bronx-county-ny
13,Education,1313,Teacher Education for Specific Subject Areas,131306,Foreign Language Teacher Education,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,foreign-language-teacher-education,"Bronx County, NY",05000US36005,bronx-county-ny
